#epoch loss_f loss_bc_u_top loss_bc_u_rest loss_bc_v u_avg u_std v_avg v_std
130 2.0260e-02 1.1529e-01 1.3032e-01 1.2486e-03 6.6537e-01 2.5467e-02 4.2245e-02 2.0441e-02
131 2.0860e-02 1.1343e-01 1.2937e-01 1.2941e-03 6.6817e-01 2.5743e-02 4.3388e-02 2.0643e-02
132 2.1475e-02 1.1159e-01 1.2844e-01 1.3396e-03 6.7097e-01 2.6020e-02 4.4511e-02 2.0838e-02
133 2.2101e-02 1.0978e-01 1.2754e-01 1.3850e-03 6.7374e-01 2.6300e-02 4.5608e-02 2.1028e-02
134 2.2737e-02 1.0799e-01 1.2666e-01 1.4299e-03 6.7649e-01 2.6584e-02 4.6676e-02 2.1210e-02
135 2.3379e-02 1.0623e-01 1.2580e-01 1.4742e-03 6.7920e-01 2.6872e-02 4.7710e-02 2.1386e-02
136 2.4024e-02 1.0451e-01 1.2495e-01 1.5175e-03 6.8186e-01 2.7165e-02 4.8705e-02 2.1555e-02
137 2.4668e-02 1.0284e-01 1.2412e-01 1.5596e-03 6.8447e-01 2.7464e-02 4.9657e-02 2.1717e-02
138 2.5308e-02 1.0121e-01 1.2329e-01 1.6002e-03 6.8702e-01 2.7769e-02 5.0564e-02 2.1872e-02
139 2.5940e-02 9.9640e-02 1.2246e-01 1.6391e-03 6.8950e-01 2.8080e-02 5.1421e-02 2.2020e-02
140 2.6560e-02 9.8122e-02 1.2163e-01 1.6761e-03 6.9191e-01 2.8399e-02 5.2226e-02 2.2161e-02
141 2.7165e-02 9.6662e-02 1.2081e-01 1.7110e-03 6.9424e-01 2.8725e-02 5.2977e-02 2.2294e-02
142 2.7750e-02 9.5262e-02 1.1998e-01 1.7436e-03 6.9649e-01 2.9058e-02 5.3673e-02 2.2420e-02
143 2.8311e-02 9.3923e-02 1.1916e-01 1.7737e-03 6.9865e-01 2.9398e-02 5.4312e-02 2.2539e-02
144 2.8846e-02 9.2644e-02 1.1833e-01 1.8012e-03 7.0073e-01 2.9745e-02 5.4895e-02 2.2651e-02
145 2.9352e-02 9.1426e-02 1.1750e-01 1.8262e-03 7.0273e-01 3.0097e-02 5.5422e-02 2.2755e-02
146 2.9824e-02 9.0266e-02 1.1668e-01 1.8484e-03 7.0465e-01 3.0455e-02 5.5894e-02 2.2851e-02
147 3.0261e-02 8.9162e-02 1.1586e-01 1.8679e-03 7.0648e-01 3.0816e-02 5.6313e-02 2.2940e-02
148 3.0661e-02 8.8111e-02 1.1504e-01 1.8849e-03 7.0825e-01 3.1179e-02 5.6682e-02 2.3022e-02
149 3.1023e-02 8.7109e-02 1.1424e-01 1.8992e-03 7.0995e-01 3.1542e-02 5.7003e-02 2.3096e-02
150 3.1345e-02 8.6152e-02 1.1345e-01 1.9111e-03 7.1159e-01 3.1905e-02 5.7279e-02 2.3163e-02
151 3.1627e-02 8.5234e-02 1.1267e-01 1.9206e-03 7.1318e-01 3.2264e-02 5.7513e-02 2.3222e-02
152 3.1870e-02 8.4349e-02 1.1192e-01 1.9279e-03 7.1473e-01 3.2618e-02 5.7709e-02 2.3274e-02
153 3.2075e-02 8.3494e-02 1.1119e-01 1.9331e-03 7.1625e-01 3.2965e-02 5.7871e-02 2.3318e-02
154 3.2241e-02 8.2660e-02 1.1049e-01 1.9365e-03 7.1775e-01 3.3302e-02 5.8001e-02 2.3355e-02
155 3.2372e-02 8.1843e-02 1.0981e-01 1.9381e-03 7.1923e-01 3.3627e-02 5.8104e-02 2.3384e-02
156 3.2469e-02 8.1038e-02 1.0917e-01 1.9380e-03 7.2070e-01 3.3939e-02 5.8180e-02 2.3406e-02
157 3.2534e-02 8.0240e-02 1.0857e-01 1.9366e-03 7.2218e-01 3.4236e-02 5.8234e-02 2.3421e-02
158 3.2570e-02 7.9444e-02 1.0800e-01 1.9338e-03 7.2367e-01 3.4516e-02 5.8266e-02 2.3429e-02
159 3.2580e-02 7.8647e-02 1.0747e-01 1.9297e-03 7.2517e-01 3.4778e-02 5.8278e-02 2.3430e-02
